Unnamed: 0,customer_id,firm_tx_count,firm_size_wallet,firm_name,total_wallet,firm_potential_wallet,firm_sow_fee,firm_sow_tx,customer_firms_count,total_tx_count,total_wallet_quintile,sow_bin
1070461,0xde1cec1161b99248ee3bd76e8868c59d2326717d,2,0.45709375,blur,34.876073283,34.418979533,0.01310622747839,0.0093023255813953,4,215,3rd_quintile,Bin 1
670289,0x4cf398c58e8100fb47adf36557f3de21e3ea3033,2,492.13728,opensea,492.13728,0.0,1.0,1.0,1,2,5th_quintile,Bin 5
356289,0xcb360cd9fff196c55a3c70a7d1af2b57d01baee6,1,38.776125,opensea,38.776125,0.0,1.0,1.0,1,1,3rd_quintile,Bin 5
838738,0x9e3e180196d047adfd3250c6689a59aecb8e60ac,2,12.877474,opensea,12.877474,0.0,1.0,1.0,1,2,3rd_quintile,Bin 5
1443437,0x940b90a8b0f3b0d67440b0be5b304bf53029a486,2,0.94111311,x2y2,702.596650336,701.6555372260001,0.001339478503847,0.0059701492537313,4,335,5th_quintile,Bin 1
1818600,0xf147bf9da415a793ed7e28d38ef9ecb237ed6208,3,41.324271,opensea,41.324271,0.0,1.0,1.0,1,3,3rd_quintile,Bin 5
431616,0x933dbbd2cbc503c458e558f6d6ab0fccbc0828cb,56,42.132785367,opensea,43.380671617,1.2478862500000003,0.9712340495551254,0.9491525423728814,4,59,3rd_quintile,Bin 5
297974,0x3fc1832f425f5c491d6a6b6f9df1783f7e591959,5,1.481272993,gem,465.718383457,464.237110464,0.003180619545238,0.1388888888888889,2,36,5th_quintile,Bin 1
883535,0x95200a0e81562384ab62b8c5bbaed3e75d0a63ac,3,2066.915315,opensea,2066.915315,0.0,1.0,1.0,1,3,5th_quintile,Bin 5
1387363,0x5d58367e172172af2da5ff3db9a45a8b970f92b4,7,225.008619416,opensea,225.008619416,0.0,1.0,0.875,2,8,5th_quintile,Bin 5
475745,0xb79748070d44a78fcd026ce07ebbd9715939b269,1,4.653669859,gem,28.370096363,23.716426504,0.1640343338794319,0.3333333333333333,2,3,3rd_quintile,Bin 1
960414,0x79b89559c401ef394e90e3c83cc5911c5ae8ba8e,3,1.17812985,gem,7.483065295999999,6.304935446,0.1574394721144232,0.3,4,10,2nd_quintile,Bin 1
1513581,0xcd87e076b5e5a591a0a36a81c6aeba7150f080c5,1,0.0,gem,101.397596948,101.397596948,0.0,0.1428571428571428,3,7,4th_quintile,Bin 1
818865,0xcd20f983cdf57e987188f4ae39609733dcb739ad,3,12.44426575,opensea,17.375194592,4.930928842,0.7162087126051336,0.6,2,5,3rd_quintile,Bin 4
96069,0xcdd3088971a00a7a0a69832f9beafe4eec37581e,48,2565.032917848,opensea,2565.032917848,0.0,1.0,1.0,1,48,5th_quintile,Bin 5
729087,0x57a2ca22493909da5b538ab5a82e87329a8efd91,5,0.3017962768,gem,264.9103216638,264.608525387,0.0011392394033744,0.0328947368421052,3,152,5th_quintile,Bin 1
1309273,0x4fb4f7f42c3c225a464037a4b0e2842a7e0fe6af,1,0.060013,opensea,0.060013,0.0,1.0,1.0,1,1,1st_quintile,Bin 5
